ncase,ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,status
41289521,protons,7.245117,86.11411132492695,0.08070949688171503,1.6987285677373039,1.436943628299914,1.6987259001654964,Developed
41510796,protons,2.848473,59.33129474550179,0.5178185210778654,8.730531422255707,3.4197334102619856,8.730529405906754,Developed
41583306,protons,4.036573,77.83858874918681,1.113949536676687,6.027642267364681,5.239116418225533,6.027633612264722,Developed
41782048,protons,5.638064,76.74743582183484,0.09801007985210042,3.4885862743781098,1.514911788275679,3.4885847533371264,Developed
42233073,protons,0.5495137,78.10445071096004,3.718160389336159,15.143902813858773,15.066290364696425,15.143807380648576,Developed
42347508,protons,0.01168966,55.38795747666054,0.0,0.0,0.0,0.0,Angle < Critical
42369077,protons,4.432615,58.697261687066614,0.0,0.0,0.0,0.0,Track below surface
42736963,protons,2.613216,40.44629405765185,0.0,0.0,0.0,0.0,Track below surface
42830444,protons,0.4946179,29.741915837168897,0.11154396220665852,5.513341492689123,3.0602839409251716,5.513350808090275,Developed
42839953,protons,2.118806,54.298279134493846,0.5971170514332584,10.39321159485375,3.5695700779103077,10.393206989976424,Developed
42909687,protons,4.406420000000001,76.05987294386998,0.7164071363187912,5.407549682646605,4.21538289307008,5.407546222466653,Developed
43080985,C,0.1604725,4.380293846340635,0.0,6.412403726554419,0.0,7.659984202712522e-06,Developed
43108733,protons,6.1183510000000005,66.73690977237136,0.0,0.0,0.0,0.0,Track below surface
43219873,protons,2.397548,59.11641523252598,1.01974987520631,9.57868279683167,4.877049414979774,9.57867764871995,Developed
43336406,protons,0.9012333,51.11130167477642,3.7867190191328,15.95328048566344,10.128035351049196,15.95327212645011,Developed
43345705,protons,0.2665707,38.29824548261373,0.3548540900582573,6.293150859014283,5.818001077483345,6.293145444340774,Developed
43475526,protons,1.681421,44.018133579656705,0.0,0.0,0.0,0.0,Track below surface
43742613,protons,0.6662893999999999,50.173734129845215,2.6359341771349136,14.481544238415475,12.01797337688756,14.481726775074987,Developed
43776778,protons,1.377178,59.09365161804162,3.4887855075455256,12.00315039845965,8.100480350093612,12.003137669765849,Developed
44141920,protons,8.245868,78.75461759988114,0.0,0.0,0.0,0.0,Track below surface
44190225,protons,1.081331,39.90196935628045,1.5338782964164164,13.091536915411831,4.064776883448291,13.289077053648894,Developed
44299846,protons,0.3480989,37.17108071850401,0.4781509614961461,7.434578408896427,6.583927467367923,7.434569662305368,Developed
44485501,protons,3.800707,63.43120919613821,0.08530618350769181,6.758160154288872,1.158042983882392,6.758157224131566,Developed
44486407,C,6.804825e-08,35.55414201363715,0.0,0.0,0.0,0.0,Energy exceeds SRIM tables
44680522,protons,3.7309550000000002,64.48798689376814,0.26917947662409425,6.856981623638944,2.4437245023919325,6.856979091638923,Developed
44708465,protons,4.2352229999999995,80.70329202636849,1.0836195455378679,5.651391121106103,5.178997083505669,5.6513852574679735,Developed
44951192,protons,3.121103,66.4059070979372,1.1035366951779135,7.938320174389636,5.153476597472389,7.938315631040534,Developed
44979637,protons,0.1048241,55.146304818605856,0.2417503169152262,4.9952335466359274,4.937775416348954,4.995296018986186,Developed
45044019,protons,1.3256430000000001,61.28041963162876,4.2459036752408394,12.060227541500586,8.798611105682381,12.060226930060967,Developed
45248353,protons,3.0150680000000003,72.10700979566292,1.7822225382760148,7.968492939651498,6.533541186185262,7.968484643016109,Developed
