ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,black_part,total_surface,status
protons,0.301010101010101,26.59090909090909,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.301010101010101,28.636363636363637,0.04398708066539392,3.3945979263574193,2.0753080215817525,3.3946035784087725,0.0,5.225152849518671,Developed
protons,0.301010101010101,30.68181818181818,0.11978709744926874,4.48716200314503,3.3987918278938016,4.487155851719888,0.0,11.699588266248954,Developed
protons,0.301010101010101,32.72727272727273,0.2009504416512229,5.28865282943094,4.37836963202471,5.28865542178733,0.0,17.996889185748596,Developed
protons,0.301010101010101,34.77272727272727,0.28453428593132735,5.95571298816612,5.186803867849088,5.9557102466792236,0.0,24.22009627858342,Developed
protons,0.301010101010101,36.81818181818182,0.3690364129592396,6.538205318512451,5.884006604552543,6.538218285306995,0.0,30.37392030069517,Developed
protons,0.301010101010101,38.86363636363636,0.4534970960807527,7.059579496719904,6.499700796829669,7.05958082013319,0.0,36.44401905803476,Developed
protons,0.301010101010101,40.90909090909091,0.5372623597894872,7.532724853240902,7.05149441122422,7.532750477203134,0.0,42.41422230454281,Developed
protons,0.301010101010101,42.95454545454545,0.619791434987718,7.965922789777797,7.550829166194542,7.965946724803461,0.0,48.26317997821724,Developed
protons,0.301010101010101,45.0,0.7006961947349168,8.364588829130314,8.005665576760713,8.364586031890491,0.0,53.97486182114517,Developed
protons,0.301010101010101,47.04545454545455,0.7796400684514868,8.732627000086577,8.421920921817021,8.732687217626161,0.0,59.532427533269406,Developed
protons,0.301010101010101,49.09090909090909,0.8563233678620108,9.07313635504516,8.804016578547023,9.073149808015202,0.0,64.91926552234273,Developed
protons,0.301010101010101,51.13636363636363,0.9305014258425359,9.388404812188831,9.15540893299662,9.38844970656515,0.0,70.1214636429026,Developed
protons,0.301010101010101,53.18181818181818,1.0019575637027476,9.680026603202258,9.47890749041044,9.680230985794566,0.0,75.12608845882833,Developed
protons,0.301010101010101,55.22727272727273,1.0704789668712245,9.949956413000336,9.77668788988514,9.950320557564673,0.0,79.91997143709898,Developed
protons,0.301010101010101,57.27272727272727,1.1359266681868139,10.199912729482241,10.050774570265435,10.200090970390397,0.0,84.49433255715961,Developed
protons,0.301010101010101,59.31818181818182,1.1981117312139062,10.428145993191116,10.302746046403081,10.430299028026345,0.0,88.83693753863528,Developed
protons,0.301010101010101,61.36363636363636,1.256894670168201,10.62943886088062,10.533760786992252,10.642161344762222,9.724420387470993e-06,92.92983882776721,Developed
protons,0.301010101010101,63.40909090909091,1.312164418311374,10.827185374425964,10.744959388118996,10.836444444454202,6.423807134138562e-05,96.78958309308013,Developed
protons,0.301010101010101,65.45454545454545,1.363761170940533,11.012671144358784,10.937431435068225,11.013847607144072,9.12630052338456e-05,100.40147406374359,Developed
protons,0.301010101010101,67.5,1.4116439827833709,11.174357268918477,11.112049116222813,11.174935377387609,7.940002583652539e-05,103.74089344920785,Developed
protons,0.301010101010101,69.54545454545455,1.4556346610622377,11.31999709161225,11.269364174390121,11.320344719293274,6.389640538508313e-05,106.80712228867985,Developed
protons,0.301010101010101,71.5909090909091,1.4957003217529188,11.450615085779084,11.40994104719583,11.450670539367362,6.722716886598063e-05,109.6006572005003,Developed
protons,0.301010101010101,73.63636363636364,1.5317880472807488,11.566303428704781,11.53460361068583,11.566240136204751,6.095694715344602e-05,112.11295708517889,Developed
protons,0.301010101010101,75.68181818181819,1.5637258402828191,11.667692711304824,11.643504670729822,11.66751941652915,7.143691206476342e-05,114.33724593138118,Developed
protons,0.301010101010101,77.72727272727272,1.5914911502000617,11.754705906629713,11.737146167818493,11.754446778382835,6.639475675978884e-05,116.24740111410625,Developed
protons,0.301010101010101,79.77272727272727,1.6152422418439034,11.828022624476205,11.815770051229743,11.827692271358444,6.88143199936397e-05,117.85885248839227,Developed
protons,0.301010101010101,81.81818181818181,1.6346518658948828,11.887675627528044,11.880085432144169,11.886677900625394,6.301261624291274e-05,119.13493628593642,Developed
protons,0.301010101010101,83.86363636363636,1.6497707253845917,11.93396478957093,11.929191709624273,11.932573122350462,8.430643303320385e-05,120.06582162446645,Developed
protons,0.301010101010101,85.9090909090909,1.6602851724977903,11.966881070712219,11.96453316249784,11.963153308630133,0.00040976901112887206,120.54272926754476,Developed
protons,0.301010101010101,87.95454545454545,1.6627712363062024,11.986633783380935,11.980729003818707,11.97647798583112,0.002748512251913232,120.24176018299201,Developed
protons,0.301010101010101,90.0,1.6902957990197045,12.062726956617608,12.062726956617608,11.993193999463157,0.0,121.67807487235868,Developed
protons,0.502020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
