       Particle         Energy              x              y              z           cosx           cosy           cosz
           1   2.1290351597623713E-003  -1.3920602557246566        3.3599888459490370      -0.55000000000000004      -0.39220088168562034       0.13893675728889515       0.90932669920060571     
           1   1.7278521197949814E-003 -0.31380776961154633        2.2503521364654238      -0.55000000000000004       -7.7832168181210762E-002  0.15364165220196255       0.98505654472464810     
           1   4.0726153176379176E-003 -0.65183438975128161        3.2416586678440424      -0.55000000000000004       0.18776723060821435       0.37664460162928592       0.90712860784633942     
           1   2.4156860842344807E-003 -0.83766405412844358        2.0822795353459504      -0.55000000000000004       0.24163173000586677       0.28575286672298666       0.92733996258867601     
           1   1.6904576473109056E-004  -1.7869146390651593        2.9335178319556912      -0.55000000000000004       0.83620802736265820      -0.28096109497285521       0.47097451957181879     
           1   2.8698886235112298E-003  -1.5879550903095354        1.3614686460860683      -0.55000000000000004      -0.50493484814625844      -0.46032674291235520       0.73016442592557018     
           1   3.9895239536218430E-003  -1.7138089773051119        3.4888777453449307      -0.55000000000000004      -0.61067517776904479      -0.15504890304506105       0.77655371026173614     
           1   1.1961669019540100E-003  -1.4776510728763435        2.5916177264034395      -0.55000000000000004        5.5596885743958400E-002 -0.18457974061117419       0.98124375445221834     
           1   1.8405081161041448E-003 -0.89064159461050685        2.4743769679412138      -0.55000000000000004       0.71593300584915942      -0.32219641150147654       0.61937823948808401     
           1   2.5891201665048102E-003  -1.2932497423092482        3.5588949485197445      -0.55000000000000004       0.20268606742070952      -0.23841459766068640       0.94977725688490788     
           1   3.6080565179432700E-003  -1.2148458946684597        2.4016432546083752      -0.55000000000000004      -0.25791282969899254       0.13940008731508574       0.95605888308890519     
           1   5.6827047138074960E-004  -1.9880867108337237        1.7467440806683112      -0.55000000000000004      -0.25664176411454492       0.70764757575082382       0.65830837260827613     
           1   6.0927843077140942E-004 -0.39435433491866090        3.4706784637233272      -0.55000000000000004      -0.89755025854943538      -0.26801829392177956       0.35009959654518347     
           1   1.9946234183778611E-003  -1.2889135163780672        3.2744445722931141      -0.55000000000000004       0.70898222117876619       0.33594886499474264       0.62006658526416925     
           1   3.9143009001342266E-003  -1.7850889669529206        1.3889634172227026      -0.55000000000000004        7.1101755143084991E-002  0.36848142617994334       0.92691206647446778     
           1   5.7443277220563527E-003 -0.54827939652283886        2.4371168256875837      -0.55000000000000004       -9.9354807200525766E-002 -0.17538167514310338       0.97947429282760934     
           1   1.1498798090312512E-003  -2.1605953888576259        3.2492353036321644      -0.55000000000000004      -0.75352021256800783       0.35070489521406395       0.55606956914072947     
           1   4.7008655215973194E-003 -0.64249943987738323        1.9188889933450541      -0.55000000000000004       0.14879723668007985       0.54516624751487619       0.82501705735513231     
           1   1.3945444068431678E-003 -0.86741238917624353        3.2223908260482128      -0.55000000000000004       0.36265708578489364       0.19069287221606757       0.91220396108326263     
           1   3.6206434610920324E-003  -1.6111259668827893        1.6607799956423310      -0.55000000000000004       0.24574332605095156       0.21207429738551381       0.94585131500138875     
           1   2.2709257899001800E-003  -1.6618241056235794        1.3393189457001602      -0.55000000000000004       -1.5519991870234109E-002  0.13854172384761756       0.99023498251964359     
